State,Land_Area
 Alaska,570640.95
 Texas,261231.71
 California,155779.22
 Montana,145545.8
 New Mexico,121298.15
 Arizona,113594.08
 Nevada,109781.18
 Colorado,103641.89
 Oregon,95988.01
 Wyoming,97093.14
 Michigan,56538.9
 Minnesota,79626.74
 Utah,82169.62
 Idaho,82643.12
 Kansas,81758.72
 Nebraska,76824.17
 South Dakota,75811
 Washington,66455.52
 North Dakota,69000.8
 Oklahoma,68594.92
 Missouri,68741.52
 Florida,53624.76
 Wisconsin,54157.8
 Georgia,57513.49
 Illinois,55518.93
 Iowa,55857.13
 New York,47126.4
 North Carolina,48617.91
 Arkansas,52035.48
 Alabama,50645.33
 Louisiana,43203.9
 Mississippi,46923.27
 Pennsylvania,44742.7
 Ohio,40860.69
 Virginia,39490.09
 Tennessee,41234.9
 Kentucky,39486.34
 Indiana,35826.11
 Maine,30842.92
 South Carolina,30060.7
 West Virginia,24038.21
 Maryland,9707.24
 Hawaii,6422.63
 Massachusetts,7800.06
 Vermont,9216.66
 New Hampshire,8952.65
 New Jersey,7354.22
 Connecticut,4842.36
 Delaware,1948.54
 Rhode Island,1033.81
 District of Columbia,61.05
 Puerto Rico,3423.78
 Northern Mariana Islands,182.33
 United States Virgin Islands,134.32
 American Samoa,76.46
 Guam,209.8
 Minor Outlying Islands[3][a],16
