,State,Actual_DR,Normalized_DR,Delta,Cum_Covid_19_Death_Rate,Adj_for_age_Covid_Death_Rate
0,AK,0.04360634000642476,0.0633219976985917,1.452128238445651,0.5213349844822578,0.7570452526563118
1,AL,0.2123721621762181,0.20757981386870056,0.9774341973147072,2.0639412640503707,2.0173667727317763
2,AR,0.1950093511705863,0.18957265975530535,0.9721208681396764,1.7077804520876017,1.6601690156753683
3,AZ,0.21319691368684893,0.20462498809369445,0.9597933879767827,2.0085866965334374,1.9278282305109218
4,CA,0.15940636901143224,0.172597788060242,1.0827534001973518,1.662034252742891,1.7995732384018301
5,CO,0.11141333792693396,0.131259925554537,1.1781347547509853,1.2319802100335444,1.4514387026059372
6,CT,0.2221981007419599,0.19412853272133446,0.8736732315582535,2.3868550524270935,2.085331366915123
7,DE,0.14654474800875777,0.13214938268866344,0.9017681253289676,1.5564388678703127,1.4035469600685526
8,FL,0.15064436257879496,0.12041962466170102,0.7993636310068701,1.6042834427235542,1.2824058379397025
9,GA,0.158748502343742,0.18634946943225802,1.173865999874134,1.8351425712174383,2.1542114692737475
10,HI,0.031782534014374184,0.027761983870209592,0.8734981250284753,1.5335463258785942,1.3395498402992592
11,IA,0.1880148459463657,0.16898216049276435,0.8987703053032805,1.6308429402316618,1.4657532072937103
12,ID,0.11303450070366775,0.12231989691146022,1.0821465671984092,1.090292876326896,1.1798566933580301
13,IL,0.16528011246370983,0.16485191693603346,0.9974092737396316,1.8194756021287517,1.8147618389062172
14,IN,0.1871745408163341,0.19181242247026054,1.0247783786924172,1.85057431377312,1.8964285449182505
15,KS,0.16579057389625698,0.16248005282152583,0.9800319101567095,1.611619706919419,1.5794387398184344
16,KY,0.1582031630336419,0.16021868089398839,1.0127400604494734,1.4637704980782524,1.4824190227079252
17,LA,0.19949259958604318,0.20951265212620893,1.0502276904554748,2.2639402853585295,2.377652777221197
18,MA,0.19030822329710992,0.17748675026881267,0.9326278559792957,2.6636147510609782,2.4841613144368253
19,MD,0.16021357399002262,0.16351425899170033,1.0206017812316157,1.9547664718740243,1.9950381430864703
20,ME,0.06405239649698113,0.05108996188853033,0.7976276405354835,1.2741751990898749,1.0163173576788869
21,MI,0.15914916975380744,0.14985382296488783,0.9415934949374926,2.0025265172184388,1.8855659420527147
22,MN,0.12848356062948788,0.12551264313550314,0.9768770613187467,1.2568338277076545,1.2277721361770455
23,MO,0.1729063053774317,0.16353599761247772,0.9458070210655428,1.4928125421523617,1.4119125835024053
24,MS,0.24484661218238737,0.25251064475801466,1.0313013625441478,2.306883800221748,2.3790924063997103
25,MT,0.14773881947420325,0.1336473425037738,0.9046189957346318,1.4437082441162683,1.3060059019262673
26,NC,0.08377125888770533,0.08570162201603981,1.0230432627367116,1.3045603412006368,1.3346216678988172
27,ND,0.21520558694699382,0.20840793112614403,0.9684132000600705,1.3879727608023114,1.344131142884777
28,NE,0.14505729918403976,0.14392591463114604,0.992200430042074,1.0203061372891216,1.0123481881928338
29,NH,0.09391701618946967,0.08470204067068342,0.9018817260953456,1.3732268195518833,1.2384881743378742
30,NJ,0.26424789381897934,0.25113297369083953,0.9503688754578151,2.5608007287369063,2.433705308841247
31,NM,0.18775970763471891,0.1816826344622949,0.9676337737793734,2.0568139865374016,1.9902426797553832
32,NV,0.1789519751596997,0.19206735676086556,1.0732899516166918,1.7321945992556382,1.859147057625779
33,NY,0.12469182377457783,0.11628375801138674,0.9325692294116135,1.734250213106639,1.6173083848437848
34,OH,0.1845308877501262,0.17314909762955177,0.9383204066303169,1.7983571945478554,1.6874352540546995
35,OK,0.20796210030348972,0.215613306395566,1.0367913484279612,1.5195012324198929,1.5754057316985695
36,OR,0.05562224481991172,0.053616505079121614,0.9639399713678566,1.3500205614354046,1.3013387813360615
37,RI,0.24458140331766037,0.2139519232313123,0.8747677473803405,1.8024644703278312,1.5767377844417754
38,SC,0.16582781642173172,0.16082479346952533,0.969830013684298,1.6427314192051399,1.593170234767347
39,SD,0.22630188581136912,0.21332257291387863,0.9426460241329618,1.6036197619435841,1.5116457928171663
40,TN,0.18103214239379462,0.18347178883169646,1.013476316446584,1.4392929209492231,1.4586892878112632
41,TX,0.1819327372739597,0.22809813878264185,1.2537498319456652,1.707010929073569,2.140164665455401
42,UT,0.07336340650750883,0.10670405495849464,1.454458837698238,0.5542090440271518,0.8060742420175827
43,VA,0.12146888783212831,0.12744191699132815,1.0491733254975928,1.6315117787671845,1.7117386385176598
44,VT,0.03461599483324225,0.029556099391738717,0.8538278195996135,1.0718020216103172,0.915134383153995
45,WA,0.06644873407938891,0.07147556576274255,1.0756497735133357,1.3643807066296152,1.4675957980721104
46,WI,0.13655800993192882,0.12808807095746705,0.9379755242575383,1.1431599666893784,1.0722560690656997
47,WV,0.14753254057842352,0.12458053820578216,0.844427525733275,1.8422496212319104,1.555646289439925
48,WY,0.10522514552689462,0.1060153825291987,1.0075099635010922,1.2159884420900553,1.2251204709079015
